Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-05,andhrapradesh,Ladies Finger,36,41 - 46,43 - 59,1kg,N/A
2024-05-05,andhrapradesh,Pumpkin,21,24 - 27,25 - 35,1kg,N/A
2024-05-05,andhrapradesh,Radish,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,andhrapradesh,Ridge Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-05,andhrapradesh,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,N/A
2024-05-05,andhrapradesh,Snake Gourd,22,25 - 28,26 - 36,1kg,N/A
2024-05-05,andhrapradesh,Sorrel Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-05,andhrapradesh,Spinach,16,18 - 20,19 - 26,1kg,N/A
2024-05-05,andhrapradesh,Sweet Potato,38,44 - 48,46 - 63,1kg,N/A
2024-05-06,andhrapradesh,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,andhrapradesh,Onion Small,38,44 - 48,46 - 63,1kg,N/A
2024-05-06,andhrapradesh,Tomato,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,andhrapradesh,Green Chilli,41,47 - 52,49 - 68,1kg,N/A
2024-05-06,andhrapradesh,Beetroot,36,41 - 46,43 - 59,1kg,N/A
2024-05-06,andhrapradesh,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-06,andhrapradesh,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,N/A
2024-05-06,andhrapradesh,Amaranth Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-06,andhrapradesh,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-06,andhrapradesh,Ash gourd,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,andhrapradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-06,andhrapradesh,Banana Flower,14,16 - 18,17 - 23,1kg,N/A
2024-05-06,andhrapradesh,Capsicum,45,52 - 57,54 - 74,1kg,N/A
2024-05-06,andhrapradesh,Bitter Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-06,andhrapradesh,Bottle Gourd,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,andhrapradesh,Butter Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-06,andhrapradesh,Broad Beans,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,andhrapradesh,Cabbage,20,23 - 25,24 - 33,1kg,N/A
2024-05-06,andhrapradesh,Carrot,44,51 - 56,53 - 73,1kg,N/A
2024-05-06,andhrapradesh,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,andhrapradesh,Cluster beans,44,51 - 56,53 - 73,1kg,N/A
2024-05-06,andhrapradesh,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-06,andhrapradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-06,andhrapradesh,Colocasia,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,andhrapradesh,Coriander Leaves,7,8 - 9,8 - 12,1kg,N/A
2024-05-06,andhrapradesh,Corn,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,andhrapradesh,Cucumber,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,andhrapradesh,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,andhrapradesh,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-06,andhrapradesh,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,andhrapradesh,Brinjal,23,26 - 29,28 - 38,1kg,N/A
2024-05-06,andhrapradesh,Brinjal (Big),22,25 - 28,26 - 36,1kg,N/A
2024-05-06,andhrapradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,N/A
2024-05-06,andhrapradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-06,andhrapradesh,French Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-06,andhrapradesh,Garlic,175,201 - 222,210 - 289,1kg,N/A
2024-05-06,andhrapradesh,Ginger,109,125 - 138,131 - 180,1kg,N/A
2024-05-06,andhrapradesh,Onion Green,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,andhrapradesh,Green Peas,49,56 - 62,59 - 81,1kg,N/A
2024-05-06,andhrapradesh,Ivy Gourd,26,30 - 33,31 - 43,1kg,N/A
